x,y,amenity,classification,key_value,category
77.0450914,28.6023098,kindergarten,activity,{'amenity': 'kindergarten'},commercial
77.0479506,28.6059739,school,activity,{'amenity': 'school'},commercial
77.2419,28.5903058,kindergarten,activity,{'amenity': 'kindergarten'},commercial
77.2493324,28.5366803,police,activity,{'amenity': 'police'},commercial
77.2134862,28.5796637,bus_station,activity,{'amenity': 'bus_station'},commercial
77.077978,28.5938906,atm,activity,{'amenity': 'atm'},commercial
77.0214331,28.5948825,atm,activity,{'amenity': 'atm'},commercial
77.020937,28.5948848,fountain,activity,{'amenity': 'fountain'},commercial
77.1910019,28.6438105,fast_food,activity,{'amenity': 'fast_food'},commercial
77.1866567,28.6397522,,activity,{'leisure': 'park'},commercial
77.1807881,28.6379089,marketplace,activity,{'amenity': 'marketplace'},commercial
77.1739956,28.6397503,fuel,activity,{'amenity': 'fuel'},commercial
77.1740466,28.6396139,fuel,activity,{'amenity': 'fuel'},commercial
77.1741764,28.640496,bus_station,activity,{'amenity': 'bus_station'},commercial
77.1838163,28.6388435,fast_food,activity,{'amenity': 'fast_food'},commercial
77.1762685,28.6424922,fast_food,activity,{'amenity': 'fast_food'},commercial
77.152883,28.6961415,,activity,{'shop': 'supermarket'},commercial
77.1941907,28.5548812,restaurant,activity,{'amenity': 'restaurant'},commercial
77.1951817,28.5558691,restaurant,activity,{'amenity': 'restaurant'},commercial
77.2492056,28.5361818,atm,activity,{'amenity': 'atm'},commercial
77.0216901,28.5949697,bank,activity,{'amenity': 'bank'},commercial
77.2541684,28.5255404,bank,activity,{'amenity': 'bank'},commercial
77.2528542,28.5265729,atm,activity,{'amenity': 'atm'},commercial
77.2975627,28.5424661,,activity,{'leisure': 'playground'},commercial
77.2973722,28.5426087,,activity,{'shop': 'convenience'},commercial
77.2985568,28.5978797,,activity,{'building': 'school'},non_commercial
77.295586,28.5940557,,residential,{'building': 'residential'},
77.2944662,28.5984246,,residential,{'building': 'residential'},
77.2967264,28.5947617,,residential,{'building': 'residential'},
77.2949215,28.5953812,,residential,{'building': 'residential'},
77.2933791,28.5980464,,residential,{'building': 'residential'},
77.2943226,28.5973332,,residential,{'building': 'residential'},
77.2934452,28.5990409,,residential,{'building': 'residential'},
77.2974155,28.5976142,,residential,{'building': 'residential'},
77.2979734,28.5951434,,residential,{'building': 'residential'},
77.2959716,28.5969839,,residential,{'building': 'residential'},
77.2974155,28.5969875,,residential,{'building': 'residential'},
77.2986215,28.5954388,,residential,{'building': 'residential'},
77.2945113,28.5962167,,residential,{'building': 'residential'},
77.2979652,28.5960006,,residential,{'building': 'residential'},
77.2955532,28.596865,,residential,{'building': 'residential'},
77.2966772,28.597308,,residential,{'building': 'residential'},
77.2954547,28.594596,,residential,{'building': 'residential'},
77.0875128,28.6675822,fuel,activity,{'amenity': 'fuel'},commercial
77.0875826,28.6678882,fuel,activity,{'amenity': 'fuel'},commercial
