x,y,amenity,classification,key_value,category,spatial_cluster
77.2265694,28.699878899999998,bar,activity,{'amenity': 'bar'},commercial,12
77.2271676,28.7000437,bar,activity,{'amenity': 'bar'},commercial,12
77.2265962,28.7000836,,activity,{'shop': 'convenience'},commercial,12
77.2265775,28.6999236,,activity,{'shop': 'convenience'},commercial,12
77.2258264,28.6990814,fast_food,activity,{'amenity': 'fast_food'},commercial,12
77.2284033,28.703484600000003,cafe,activity,{'amenity': 'cafe'},commercial,12
77.2688316,28.5622333,restaurant,activity,{'amenity': 'restaurant'},commercial,9
77.268987,28.5625256,pharmacy,activity,{'amenity': 'pharmacy'},commercial,9
77.2686705,28.562363,restaurant,activity,{'amenity': 'restaurant'},commercial,9
77.0666315,28.587799600000004,bus_station,activity,{'amenity': 'bus_station'},commercial,-1
77.06757590000001,28.575009499999997,fuel,activity,{'amenity': 'fuel'},commercial,20
77.067756,28.575236100000005,fuel,activity,{'amenity': 'fuel'},commercial,20
77.18772690000002,28.525419899999996,,activity,{'shop': 'ticket'},commercial,33
77.13244499999999,28.653729600000002,,activity,{'shop': 'electronics'},commercial,-1
77.1324402,28.6537988,,activity,{'shop': 'electronics'},commercial,-1
77.2673093,28.569753000000002,,activity,{'leisure': 'sports_centre'},commercial,9
77.2671483,28.5654375,bank,activity,{'amenity': 'bank'},commercial,9
77.2679745,28.566926300000002,bank,activity,{'amenity': 'bank'},commercial,9
77.26857530000001,28.5629027,hospital,activity,{'amenity': 'hospital'},commercial,9
77.2681139,28.562676500000002,,activity,{'building': 'office'},commercial,9
77.26827490000001,28.561856699999996,post_office,activity,{'amenity': 'post_office'},commercial,9
77.2598635,28.5712512,fuel,activity,{'amenity': 'fuel'},commercial,29
77.20598890000001,28.6346445,,activity,{'shop': 'art'},commercial,4
77.234434,28.656380600000006,bank,activity,{'amenity': 'bank'},commercial,4
77.08465759999999,28.556068800000002,atm,activity,{'amenity': 'atm'},commercial,34
77.2181175,28.625384399999998,restaurant,activity,{'amenity': 'restaurant'},commercial,4
77.226395,28.599525399999997,restaurant,activity,{'amenity': 'restaurant'},commercial,6
77.2320267,28.629726899999998,restaurant,activity,{'amenity': 'restaurant'},commercial,4
77.2318985,28.629465000000003,restaurant,activity,{'amenity': 'restaurant'},commercial,4
77.1328702,28.538412899999997,restaurant,activity,{'amenity': 'restaurant'},commercial,35
77.0971397,28.8366376,fuel,activity,{'amenity': 'fuel'},commercial,-1
77.0450914,28.6023098,kindergarten,activity,{'amenity': 'kindergarten'},commercial,-1
77.0479506,28.6059739,school,activity,{'amenity': 'school'},commercial,-1
77.2419,28.590305800000003,kindergarten,activity,{'amenity': 'kindergarten'},commercial,9
77.2493324,28.5366803,police,activity,{'amenity': 'police'},commercial,36
77.2134862,28.579663699999998,bus_station,activity,{'amenity': 'bus_station'},commercial,8
77.077978,28.5938906,atm,activity,{'amenity': 'atm'},commercial,15
77.0214331,28.5948825,atm,activity,{'amenity': 'atm'},commercial,-1
77.020937,28.5948848,fountain,activity,{'amenity': 'fountain'},commercial,-1
77.1910019,28.643810499999997,fast_food,activity,{'amenity': 'fast_food'},commercial,4
77.1866567,28.6397522,,activity,{'leisure': 'park'},commercial,4
77.18078809999999,28.6379089,marketplace,activity,{'amenity': 'marketplace'},commercial,4
